Allocation,Allocation %,Rank,Fund Name,Ticker,Expense Ratio,5-Yr Return,Sharpe Ratio,Score
US Equity Large Cap,25%,1,Permanent Portfolio Aggressive Growth I,PAGRX,1.21%,17.95%,1.64,0.45
US Equity Large Cap,25%,2,Permanent Portfolio Aggressive Growth A,PAGDX,1.46%,17.66%,1.62,0.442
US Equity Large Cap,25%,3,Permanent Portfolio Aggressive Growth C,PAGHX,2.21%,16.78%,1.58,0.419
US Equity Large Cap,25%,4,Fidelity Large Cap Stock K6,FCLKX,0.45%,15.65%,1.37,0.416
US Equity Large Cap,25%,5,Fidelity Series Large Cap Stock,FGLGX,0.91%,15.99%,1.4,0.416
US Equity Mid Cap,7%,1,Invesco Value Opportunities R6,VVOSX,0.67%,17.44%,1.19,0.424
US Equity Mid Cap,7%,2,Invesco Value Opportunities R5,VVONX,0.74%,17.35%,1.19,0.422
US Equity Mid Cap,7%,3,Invesco Value Opportunities Y,VVOIX,0.77%,17.30%,1.19,0.421
US Equity Mid Cap,7%,4,Invesco Value Opportunities A,VVOAX,1.02%,17.01%,1.17,0.412
US Equity Mid Cap,7%,5,Gotham Enhanced Return Institutional,GENIX,1.51%,16.41%,1.3,0.407
US Equity Small Cap,3%,1,Invesco Small Cap Value R6,SMVSX,0.72%,18.45%,1.08,0.428
US Equity Small Cap,3%,2,Invesco Small Cap Value Y,VSMIX,0.85%,18.28%,1.07,0.424
US Equity Small Cap,3%,3,Invesco Small Cap Value A,VSCAX,1.10%,17.99%,1.06,0.416
US Equity Small Cap,3%,4,Invesco Small Cap Value R,VSRAX,1.35%,17.69%,1.04,0.408
US Equity Small Cap,3%,5,Auer Growth,AUERX,2.05%,18.81%,0.93,0.405
Non-US Equity Large Cap,10%,1,Smead International Value Y,SVXYX,1.01%,17.72%,1.16,0.421
Non-US Equity Large Cap,10%,2,Smead International Value I1,SVXFX,1.16%,17.55%,1.15,0.416
Non-US Equity Large Cap,10%,3,Smead International Value Inv,SVXLX,1.26%,17.42%,1.15,0.413
Non-US Equity Large Cap,10%,4,JPMorgan Developed International ValueR6,JNVMX,0.55%,15.36%,1.38,0.412
Non-US Equity Large Cap,10%,5,JPMorgan Developed International ValueR5,JPVRX,0.65%,15.24%,1.37,0.409
Non-US Equity Emerging Markets,3%,1,American Beacon DevelopingWldIncFd-R5Cl,AGEIX,1.11%,8.52%,1.97,0.359
Non-US Equity Emerging Markets,3%,2,American Beacon DevelopingWldIncFd-YCl,AGEYX,1.14%,8.47%,1.97,0.358
Non-US Equity Emerging Markets,3%,3,Eaton Vance Emerging Markets Dbt Opps R6,EELDX,0.73%,8.06%,1.94,0.356
Non-US Equity Emerging Markets,3%,4,Eaton Vance Emerging Markets Dbt Opps I,EIDOX,0.81%,7.98%,1.93,0.354
Non-US Equity Emerging Markets,3%,5,American Beacon DevelopingWldIncFd-InvCl,AGEPX,1.40%,8.21%,1.94,0.349
Real Estate,2%,1,PGIM US Real Estate R6,PJEQX,1.01%,6.84%,0.44,0.246
Real Estate,2%,2,PGIM US Real Estate Z,PJEZX,1.00%,6.80%,0.44,0.245
Real Estate,2%,3,PGIM US Real Estate A,PJEAX,1.25%,6.54%,0.42,0.237
Real Estate,2%,4,abrdn Real Estate Fund Instl,AIGYX,0.99%,6.14%,0.38,0.234
Real Estate,2%,5,SEI Real Estate Y (SIMT),SREYX,0.99%,5.93%,0.36,0.23
Short-term Fixed Income,40%,1,Medlst Shrt Dur Inst,SEMIX,0.61%,4.89%,2.99,0.385
Short-term Fixed Income,40%,2,Medlst Shrt Dur Inv,SEMRX,0.86%,4.65%,2.62,0.356
Short-term Fixed Income,40%,3,PIMCO Short Asset Investment M,PAMSX,0.39%,3.50%,2.58,0.346
Short-term Fixed Income,40%,4,Victory Pioneer Multi-Asset Ult Inc R6,MAUKX,0.35%,4.24%,2.42,0.346
Short-term Fixed Income,40%,5,PIMCO Short Asset Investment Instl,PAIDX,0.39%,3.55%,2.54,0.344
Other Fixed Income,10%,1,Stone Ridge Hi Yld Reinsurance Risk PrmI,SHRIX,1.73%,9.85%,4.05,0.495
Other Fixed Income,10%,2,Stone Ridge Hi Yld Reinsurance Risk PrmM,SHRMX,1.88%,9.75%,3.99,0.488
Other Fixed Income,10%,3,PGIM Securitized Credit R6,SCFQX,0.60%,5.46%,2.81,0.381
Other Fixed Income,10%,4,PGIM Securitized Credit Z,SCFZX,0.65%,5.43%,2.78,0.378
Other Fixed Income,10%,5,Holbrook Structured Income I,HOSIX,1.40%,0.00%,3.89,0.371
